control1	control2	control3	tumour1	tumour2	tumour3
ACTL10	2.57240917043575	2.33088066483355	2.59290172977463	2.7962497533871	3.45214447562668	2.33422554876658
ACTL11P	1.57492859013107	2.33088066483355	1.59131737531809	1.57633254519192	2.31551735497905	2.01153192637014
ACTL6A	10.4332876878574	10.3971558387481	10.3004101727266	10.2018444403108	10.4086551794222	10.4576195753073
ACTL6B	0	0.594844474201	0	0	2.30094175674346	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	0	1.59242682832446	0	0.993532377825115	0	1.0076981838437
ACTL9	0	0	0	0	0	0
ACTMAP	9.04245328711799	9.0354324173317	8.70712181823018	8.91481055520939	8.75867088675302	8.59033737755932
ACTN1	12.5825724343217	12.404775573635	12.3342497092555	12.4690020921943	12.3861828156678	12.3178760029545
ACTN2	6.01724293475	5.07868212819093	3.94724641432797	5.30426174279737	4.07376424321965	4.95191647768852
